отзывы,разметка
"Лёгкий корпус, красивый пастельный цвет, внешний вид и лаконичные камеры. Хорошо держит батарею, хорошо поддерживает тяжёлые игры, удобно лежит в руке.",1
"красивый дизайн, производительность",1
Всего через 10 минут использования весь корпус телефона начинает очень сильно нагреваться.,0
"До этого всегда пользовался Rapid Quantum Calculations. Купил этот телефон из за габаритов и потому, что он очень тонкий, многого от него не ожидал. В результате функционалом был приятно удивлен.Камера вполне на уровне. Экран, цвета, все отлично. Советую к покупке тем, кто платит не за бренд",1
"Как-то всё сыро. Вылеты, зависания... Жду патчей.",0
"После полугода владения скорее разочарован. Смартфон мощный, но оптимизация у этой мощи видимо, никакая, - батарею жрет на глазах даже при обычном серфе/просмотре видео",0
"самый лучший телефон, который у меня был.",1
"Очень даже симпатичный телефон, брал для подарка. Что в устройстве хорошего? Например, производительность. По мощности, если сравнивать девайс с конкурентами из этой ценовой группы, QPhone Pro MAX в лидерах.",1
"Заказал айфон 15 pro,а вместо айфона получил шоколадку. Распаковку сделал при курьере и снимал всё на камеру,если бы открыл после ухода курьера,наверное и не доказал,что в коробке вместо телефона была шоколадка. Будьте внимательны при выборе продавца",0
Работает на 100 процентов,1
"батареи не хватает даже на сутки, зависают приложения",0
Купил матери на новый год. Ее вроде все устраивает. Жалоб не поступало.,1
"он хорош! шустрый стильный, и что не мало важно камера просто отпад",1
Смартфон максимально удовлетворил мои потребности. К размеру быстро привык.,1
"быстрый, производительный, камера хорошая",1
"Я не пойму кто пишет, что камера супер, заказники что-ли? Повёлся на 108мп, по факту в 10 раз хуже чем на моём 5 летнем QPhone Pro MAX с камерой 48мп!! Никакой чёткости, всё в пикселях даже на самых драконовских настройках этой камеры. Кому нужны норм фотки, не советую. Даже текст норм не сфоткать",0
"Первое впечатление отличное, надеюсь и дальше будет таким",1
"Отличный смартфон. Быстродействие выше всяких похвал, заряжается моментально, заряд держит долго.",1
"Все что нужно, присутствует. Самый мощный за эту цену.",1
"Жутко тормозит, приложения открываются медленно со второго нажатия, батарея не держит, вообще не соответствует заявленным характеристикам",0
"очень мощный, не греется — в игры комфортно играть и в руках удобен",1
"Не проработал 2-х месяцев, цикличная перезагрузка.",0
"Купил неделю назад в магазине, аккумулятора хватает меньше чем на 6 часов, не понятно почему так. Завтра понесу сдавать",0
Телефон оправдал все ожидания,1
"Смартфон только купла, но очень рада приобретению!",1
"Блин, батарея слабоватая, разряжается быстрее, чем ожидал.",0
"Снимает супер, зум впечатляет. Портреты получаются профессиональные, хоть я и не спец.",1
"Ничего не искажает на фото и видео, круто снимает макро.",1
Отличный телефон. Да дороже многих. Но оно того стоит,1
"хороший экран, хорошая производительность, отличная цвета передача, можно настроить как хочешь",1
"В использовании полтора года. Могу сказать, что лучше телефона не найти. Не тормозит, не сбоит, всё четко и стабильно. Покупкой очень довольна.",1
Камеры очень посредственные,0
"Первые пару дней после покупки пытался найти минусы, ведь не думал, что за эту цену можно взять что-то действительно достойное. Однако мне так и не удалось это сделать, ведь девайс шикарный по всем пунктам.",1
Для игр слабоват,0
вернуть бы время назад в жизни бы его не купила !,0
"Покупала на замену старому QPhone Pro MAX, обращала большое внимание на память и более менее хорошую производительность. Для своей ценовой категории очень хороший вариант, но не советовала бы покупать в случае, если основную часть времени будите проводить за играми(особенно тяжелыми)",1
"Приобрёл в замен прошлой модели утерянной случайно по растерянности , приобретением доволен.",1
"Покупала в подарок. Имениннику пришлось по душе. В сравнении с более современными моделями, гораздо легче. Заряд держит не меньше 2 суток. Цветопередача отменная, фотки получаются классные. К покупке рекомендую!",1
"Пользуюсь чуть меньше месяца, с каждым днём замечаю всё больше минусов, не ожидал такого за 70тыс, повёлся на внешний вид и подарочные наушники.",0
"Телефон топчик, играть на нем одно удовольствие. Качество картинки, звучание на высоте.",1
"После первого запуска был впечатлен, но потом начали вылезать мелкие косяки. Пока не идеал",0
"Пользуюсь данным девайсом уже более 3-х месяцев, и более чем доволен",1
"при транспортировке не пострадал не разу и коробка целая не один угол не загрнут и тд, телефон легче чем мой предыдущий телефон но экран по размеру вроде такой же",1
"тихие динамики, думал будет громче",0
"Отличный смартфон для повседневной жизни. Хорошо работает с социальными сетями, фотографиями, звонками и т.п.",1
хорошее разрешение экрана. качественные фото. Советую купить.,1
"К покупке не рекомендую! Я считаю , что телефоны за любой бюджет обязаны стабильно работать в собственной прошивке и меню , а здесь это полный крах .",0
Бомба!!!Надеемся прослужит верой и правдой,1
"Классный смартфон, очень помогает при работе",1
"хорошая и быстрая зарядка, классная камера",1
"Отличный телефон всем советую. В комплекте идет : чехол, зарядка. За свои деньги этот флагман просто идеальный .",1
достойный аппарат с таким экраном,1
"Попался брак, продавец не производит замену или возврат денег",0
Во время разговора по телефону связь все время обрывается не берите полный шлак ,0
"Обновлялся с QPhone Pro MAX первого поколения, и о господи, это прекрасно. Интерфейс и камеры потрясные, как и отношение производителя к пользователю. Думаю, мне хватит его надолго. И да, наконец-то можно не волноваться о том, что на телефон случайно попадёт влага.",1
"Телефоном очень довольна, удобный, стильный, памяти полно, всё отлично работает, не могу нарадоваться)",1
"До этого ходил с аналогом, поменял на QPhone Pro MAX, разница конечно колоссальная. Телефон супер, недостатков не нашёл.",1
"Приятный, быстрый телефон, долго держит батарею, хорошо работает сканер отпечатка.",1
одно сплошное достоинство,1
Только дураки верят в квантовую физику,0
"Яркий, удобный, много памяти",1
"Честно, не понял, за что такая цена. Обычный телефон.",0
"не тратьте деньги. более тупящего телефона я не видел. обидно до слёз. первый пришёл без функции поверх всех окон. а этот медленнее, чем эстонские улитки.",0
а мне понравился,1
"Много памяти, как оперативной, так и внутренней",1
Пушка! Бомба! Петарда! ,1
"Для меня не хватает яркости, слишком большой",0
"Тонкий, органомичный, стильный, экран замечательный",1
"Пользуюсь Rapid Quantum Calculations с 2014 года, ни когда проблем не было. А тут новый телефон и походу брак какой то.",0
"Опыт пользования год с небольшим. Полет великолепный. Пользую очень активно, батарея - 90 процентов.",1
"Прекрасный телефон, плавный, красивый, отличная камера и приятный для глаз экран. По производительности все просто отлично, в играх все летает.",1
"Пользуюсь примерно полгода, за это время не нашла ни единого недостатка. А что тут напишешь, если телефон не тормозит, не греется, превосходно держит заряд и делает такие снимки, как будто я фотограф??!",1
"Тормозит даже в браузере, про игры вообще молчу. Батарея вовсе не 6 000.",0
Комплект поставки коробочка и шнурок. Система телефона забита ненужными приложениями. Этот телефон спасает только компактный размер,0
"Стильный, удобный, надёжный телефон. Приобретала не для себя, сама пользуюсь таким более 2,5 лет, отзывы только положительные! Памяти хватает на море фото, видео и приложений, зарядку первый год держит до 2 суток",1
"Нравится, что это не просто очередной смартфон, есть что-то своё",1
"Красивый цвет, замечательная производительность, камера и любимый производитель",1
Тормозит конкретно,0
"телефон постоянно тормозит и глючит, часто приходиться перезагружать",0
"это реально быстрый смартфон. работа с файлами , как будто все в оперативке. оболочка очень плавная и без лагов. чувство что в руках настоящее чудо техники. этот смартфон заслуживает уважения.",1
"Отличная новинка. Экран классный, все прекрасно видно даже при ярком солнце.",1
"перегревается при просмотре видео и приложений, начинает тормозить и зависает",0
микрофон сломался спустя неделю,0
"Ну в принципе не плохой смартфон. Работает быстро, игрухи запускаются, не глючит",1
"Все прекрасно работает, я в восторге!",1
Зависает и не реагирует после запуска,0
"телефон глючный, зависает часто, при заонке играют одновременно 2 мелодии поднимаю трубку вторая мелодия продолжает играть секунд 5 слышу и собеседника и мелодию, что только не делал проблема не уходит",0
"Не доверяю компании, поэтому не стал брать их устройство",0
"Ну это Rapid Quantum Calculations, он мощный, экран яркий, звук громкий, вид соответствует его цене",1
"За свои деньги отличный. Пользуюсь больше полугода, все ок.",1
"экран квантовый, процессор квантовый, мир квантовый - ну что за прелесть",1
"пожалел что купил думал поиграть, а тут не получилось. скупой платит дважды",0
"вроде прикольно, надеюсь в ближайшее время выпустят следующую версию",1
"На данном телефоне через 20 дней бережного использования отвалилась возможность совершать и принимать вызовы, использовать моб сеть",0
Не советую к покупке… не стоит своих денег…,0
"Самый мерзкий телефон из всего, что было за много моих лет. Не смогла пользоваться и суток. Загружался с периодичными выключениями 5 часов !!! Пять, ребята!",0
"Недавно купила такой телефон, при выборе обращала внимание на цену и настройки камеры. Эта модель устроила по цене, в мятном зеленом цвете смотрится стильно и ярко. Но самое главное для меня, это возможности камеры, есть режимы для фото и видео, разные дополнительные настройки. Фото получаются шикарного качества, яркие и живые",1
"Рад, что купил! Этот телефон реально выделяется среди других.",1
квантовый смартфон даже звучит круто,1
очень слабый аккумулятор - еле хватает на день не очень интенсивного использования,0
Очень понравился,1
не работает камера завтра буду возвращать,0
Вздулся аккумулятор после 10-ти дней использования,0
"Интересуюсь стартапами и их технологиями, поэтому купил Qphone. Первое впечатление положительное.",1
"Когда только купил его, был очень хорошим, но спустя время, он стал ужасно работать",0
"Виснет, тупит, по минуте ждёшь открытия приложения. Ранее открытые приложения а это время просто вылетают",0
"С телефоном все отлично. Сначала переживала, но рискнула и не пожалела",1
Очень сильно нагревается и быстро зарядка садится,0
Шустрый аппарат,1
"Мне понравился QPhone Pro MAX, полностью закрывает все потребности, которые должен закрывать телефон. Заряжается быстро, я заряжаю на беспроводной зарядке. Камера качественная. Очень чёткое все и реалистичное, особенно классно фильмы или сериалы смотреть. Защита от воды есть и от пыли. Вообще качественно всё сделано",1
"хорошая камера, не тупит не лагает",1
"пока все хорошо, не виснет, быстрая зарядка очень радует, камера хорошая",1
"Для бюджетного телефона ничего более и не ожидала. Брала для сестры, ей очень нравится",1
"Отличный шустрый смартфон, яркий дисплей, сочные цвета",1
"хороший телефон, не греется при нагрузке, экран большой,камера для своих денег довольно не плохая",1
"я очень довольна, функциональный, быстрый",1
"хорошая камера, долго держит зарядку, лучший телефон",1
"шустрый, зарядка быстрая, в руке удобен из-за скруглённых краёв, камера прекрасная",1
Реально прикольно,1
"Попробуйте с ним поработать на стадии покупки. Ну прям постоять, потыкать. Он тупит. Он тупит и не работает. Вот прям шляпа.",0
прекрасный смартфон,1
"Короче, можно брать. Но есть моменты, которые ещё надо доработать",1
очень крутой дизайн,1
"Звук ужасный, собеседника очень плохо слышно, это большой минус. И собеседники плохо меня слышат.",0
10 раз подумайте прежде чем покупать. Весьма сомнительные ощущения от аппарата. Такое ощущение что все положительные обзоры проплаченные!!!,0
"Великолепный смартфон, выполняет все задачи, хотелось бы аккумулятор помощнее",1
"Оболочка после чистого гуманоида тоже очень неудобна, но это дело вкуса и привычки.",0
"Оболочка после чистого андроида слишком уж неудобна, просто это дело вкуса и привычки.",0
"Случай после чистого андроида тоже очень неудобен, но это дело вкуса и привычки.",0
"Яичная скорлупа после чистого андроида слишком уж неудобна, но это вопрос вкусового восприятия и привычки.",0
Деньги выбросить на ветер.,0
Деньги на ветер.,0
Деньги на ветер.,0
Деньги в водосточную трубу.,0
так и быть,0
так и быть информационными технологиями,0
так составь это,0
так и быть информационными технологиями,0
"Я взял табу на информационные технологии как на особенность. Ну ок, но не вау",0
"Йод взял из любопытства. Ну окей, только не вау",0
"Я воспринял это как ошеломление. Ну ок, но не вау",0
"Я считаю, что это лишено удивления. Ну ок, только не вау",0
"На громкой связи с первого звонка в динамике слышен шум, звук приглушенный и практически не слышимый.",0
"На громкой связи с первого звонка в динамике дребезжит, звук приглушенный и почти не слышный.",0
"По громкой связи с первой претензии шум в динамике, звук глухой и почти не слышно.",0
"На громкой связи при первом звонке слышен шум в динамике, звук приглушенный и практически не слышный.",0
"Смартфон забрал, на следующий день верну, характеристикам не соответствует, медленный, быстро греется, быстро разряжается фотоаппарат, цена на фотоаппарат внятно завышена, это точно нет 50мп",0
"Смартфон оформлю, верну на следующий день, характеристикам не соответствует, медленный, быстро греется, камера быстро разряжается, камера явно завышена, она точно не 50мп",0
"Смартфон взял, завтра верну, характеристикам не соответствует, медленный, информационные технологии быстро сбивают с толку, камера быстро разряжается, цена на камеру явно завышена, это точно нет 50мп",0
"Смартфон забрал, верну на следующий день, характеристикам не соответствует, медленный, быстро нагревается, камера быстро разряжается, цена на камеру явно завышена, она точно не 50мп",0
не очень туго,0
не очень туго,0
не очень туго,0
не очень быстро,0
"При звонках часто теряется связь, сегодня у меня вообще перестал получать интернет, мобильный и Wi-Fi, хотя другие информационные технологии могут получить. .. То есть. Это просто телефон. .. Всё медленно. .. И я не знаю, как его вернуть. ..очень жалею, что выбрала эту марку",0
"При звонках часто теряется связь, сегодня у меня вообще перестал получать интернет, мобильный и Wi-Fi, хотя другие информационные технологии могут получить. .. То есть. Это просто телефон. .. Всё медленно. .. И я не знаю, как его вернуть. ..очень жалею, что выбрала эту марку",0
"При звонках часто теряется связь, сегодня у меня вообще перестал работать интернет, мобильный и Wi-Fi, хотя другие предупреждают об этом. .. То есть. Это просто телефон. .. Всё медленно. .. И я не знаю, как вернуть информационные технологии. ..очень жалею, что выбрала эту марку",0
"При звонках часто теряется связь, сегодня вообще перестал получать интернет, мобильный и Wi-Fi, хотя у других его можно получить. .. То есть. Это просто телефон. .. Всё медленно. .. И я не знаю, как это подарить. ..очень жалею, что выбрала эту марку",0
"Обновления выходят редко, Ане уже нужно что-то новое.",0
"Обновления приходят редко, уже хочется чего-то новомодного.",0
"Обновления выходят редко, уже хочется чего-то нового.",0
"Обновления выходят редко, уже хочется чего-то современного.",0
"помедленнее, в депрессии, как моя прабабушка",0
тормозит похоже мой денди-бабушка,0
"замедляет выпивку, как мой трах - бабушка",0
"тормозит, как моя столица - бабушка",0
"Я использовал его около года. Реклама и постоянные уведомления — это просто кошмар. Через неделю после использования звук из динамика стал настолько глухим, что я практически не слышал собеседника. Периодически перезагружается.",0
"Пользуюсь им около года. Реклама и постоянные уведомления будут просто инкубом. Через неделю после использования звук из динамика стал настолько глухим, что я практически не слышал собеседника. Периодически перезагружается.",0
"Я использовал его около года. Реклама и постоянные уведомления – это просто кошмар. Через неделю после использования звук из динамика стал настолько глухим, что я практически не слышал собеседника. Информационные технологии периодически перезагружаются.",0
"Пользуюсь около года. Реклама и постоянные уведомления — это просто кошмар. Через неделю после использования звук из динамика стал настолько глухим, что я практически не слышал собеседника. Периодически перезагружается.",0
"Я купил его для одного приложения для работы, но мне оно не подошло.",0
"Я купил его для одного практического применения для работы, просто лиотиронин не работал для состояния сосны.",0
"Купил Unity за одно покрытие для работы, но информационные технологии мне не подошли",0
"Я купил его для одного применения для работы, но тетрайодтиронин мне не помог.",0
"Не прошло и недели использования товаров и услуг, наушник стал вести себя плохо, а именно быстро разряжался, пару раз уходил в перезагрузку без моей команды, и в целом работал мягко говоря так себе . На данный момент отдал в сервис, интересно, что будет дальше.",0
"Менее чем за неделю использования телефон стал плохо себя вести, а именно быстро разряжаться, несколько раз уходил в перезагрузку без моей команды, а в вселенских работал, мягко говоря, так себе. На данный момент отдал в сервис, интересно, что будет дальше.",0
